clean_text,label,synthetic
۱. من هم با نظر شما موافقم، بعضی‌ها فقط بخاطر سلیقه‌شون برند رو بالا می‌برن، در حالی که کیفیت واقعی در سطح متوسطه.,Negative,1
۲. راستش، منم تجربه مشابهی داشتم، فکر می‌کردم صدای برند خاصی عالیه ولی بعد فهمیدم خیلی هم معمولیه.,Negative,1
۳. به نظرم این نوع نظرات بیشتر گمراه‌کننده‌س و واقعاً به کیفیت محصول,Negative,1
1. واقعا زحمت کشیدم ولی نمی‌تونستم میزان آب رو ببینم.,Negative,1
2. مخزن خیلی تیره‌س، چجوری باید بفهمم چه قد آب داره؟,Negative,1
3. شمارهٔ آب خیلی قاطی کرده، اصلاً نمی‌دونم چند لیتر آب دارم.,Negative,1
1. منم یکی از اینا خریدم، ولی صداش خیلی اذیتم می‌کنه.,Negative,1
2. کیفیتش خوب نیست، بعد از یه ماه استفاده خراب شد.,Negative,1
3. انتظار بیشتری داشتم، خیلی زود داغ می‌کنه.,Negative,1
- من یه هدفون دیگه از دیجی کالا خریدم، اما کیفیتش اصلاً خوب نبود و خیلی زود خراب شد.,Negative,1
- واقعاً انتظار داشتم اورجینال باشه، ولی بعد از یکی دو هفته صدای هدفون خیلی بد شد.,Negative,1
- جنسش با اینکه گفتن اورجینال بود، ولی اصلاً مثل باکس اصلی نبود و ناامید شدم.,Negative,1
1. من اصلا راضی نبودم، کیفیت خیلی پایین بود.,Negative,1
2. انتظار بیشتری داشتم، اصلاً اونطور که فکر می‌کردم نبود.,Negative,1
3. متاسفانه تجربه خوبی نبود، خدماتشون ضعیف بود.,Negative,1
1. مکش خوبی داره ولی صداش اصلاً کم نیست و خیلی اذیت می‌کنه.,Negative,1
2. انتظار داشتم نرم‌تر کار کنه، ولی مکش همون‌قدر مزخرف بود.,Negative,1
3. واقعاً به نظرم کیفیتش خوب نیست و بعد از چند بار استفاده ضعیف شد.,Negative,1
1. به نظرم صدای این هدست اصلاً کیفیت خوبی نداشت و بیس هم خیلی ضعیف بود.,Negative,1
2. منم انتظار بیشتری داشتم، ولی واقعاً از نظر تفکیک صدا ناامید شدم.,Negative,1
3. این هدست به قدری سنگین بود که بعد از چند دقیقه گوش کردن، اذیت شدم.,Negative,1
1. واقعا انتظارم بیشتر بود، کیفیت صداش معمولی بود و راحتی هم نداشت.,Negative,1
2. حس نکردم که ارزش هزینه‌ای که دادم رو داشته باشه، به نظرم بعدی رو انتخاب کنم.,Negative,1
3. ضد آب نبود و توی استفاده روزمره‌ام خیلی اذیتم کرد، امیدوار بودم بهتر باشه.,Negative,1
قیمتش خوبه ولی کیفیتش اصلاً به‌درد نمی‌خوره.,Negative,1
قیمت پایین تنها دلیل نمی‌شه که ازش راضی باشم.,Negative,1
پولم رو هدر دادم، انتظار بیشتری داشتم.,Negative,1
1. اولش خوب بود ولی خیلی زود خراب شد و دیگه درست کار نکرد.,Negative,1
2. بعد از چند هفته صداش خیلی زیاد شد و دیگه نمی‌چرخید.,Negative,1
3. انتظار داشتم بهتر کار کنه، اما بعد از مدتی خیلی ضعیف شد.,Negative,1
1. من هم یک قابلمه خریدم و دقیقا بعد از اولین استفاده زنگ زد و خیلی تعجب کردم.,Negative,1
2. برای من هم درب قابلمه به خوبی بند نمی‌شه و بخار همه جا پخش می‌شه.,Negative,1
3. متاسفانه چاپ زیر قابلمه هم خیلی بی‌کیفیت بود و انتظار بیشتری داشتم.,Negative,1
1. من هم بعد از چند بار استفاده دستم واقعا درد گرفت و از کار کردن باهاش پشیمون شدم.,Negative,1
2. با اینکه دستگاه خوبیه، ولی کوفتگی دست بعد از استفاده واقعا آزاردهنده است.,Negative,1
3. باید حداقل یه دسته راحت‌تر برای این دستگاه طراحی می‌کردن، دستم خیلی اذیت شد.,Negative,1
من تازه خریدم، ولی کیفیتش اصلاً به انتظارم نرسید.,Negative,1
نمی‌دونستم که اینقدر زود خراب میشه، واقعاً ناامید شدم.,Negative,1
فکر می‌کردم بهتر از این باشه، ولی پشیمون شدم از خرید.,Negative,1
1. من هم از این هندزفری خریدم ولی بعد چند ماه یکی از گوشی‌هاش قطع شد و اصلاً راضی نبودم.,Negative,1
2. تجربه من با این هندزفری کاملاً برعکس بود، خیلی زود خراب شد و اصلاً کیفیت خوبی نداشت.,Negative,1
3. انتظار داشتم بهتر باشه، ولی بعد از چند هفته استفاده، صداش خیلی ناگهان افت کرد و دیگه نتونستم ازش استفاده کنم.,Negative,1
۱. صدای بیسش به نظرم خیلی ضعیفه و واقعا انتظاراتم رو برآورده نکرد.,Negative,1
۲. تفکیک صدا خوبه، ولی بیس به شدت کم و ناامیدکننده است.,Negative,1
۳. کیفیت صدا عالیه، ولی تنظیمات بیس خیلی محدود و مشکله.,Negative,1
1. من هم از دیجی کالا خریدم، ولی به محض اینکه هدفون رو امتحان کردم، فهمیدم که کیفیتش اصلاً به اندازه‌ای که انتظار داشتم نبود.,Negative,1
2. این هدفون رو گرفتم و واقعاً ناامید شدم، صداش خیلی ضعیف و بی‌روح بود.,Negative,1
3. انتظار داشتم کیفیت صدا بهتر باشه، اما با توجه به قیمتش به نظرم نمی‌ارزه.,Negative,1
1. من هم دو ماه پیش یکی خریدم ولی همسرم اصلاً ازش خوشش نیومد.,Negative,1
2. نمی‌دونم چرا، ولی استفاده ازش برامون خیلی راحت نبود.,Negative,1
3. انتظار بیشتری داشتم، ولی کیفیتش به نظرم متوسط بود.,Negative,1
1. من هم همین مته رو خریدم ولی متاسفانه زود کند شد و کارایی نداشت.,Negative,1
2. کوچیک بود و انتظارم رو برآورده نکرد، به درد کارم نخورد.,Negative,1
3. سنگ گرانیت رو به راحتی سوراخ نکرد، خیلی ناراضی‌ام از خریدم.,Negative,1
1. منم اینو چند ماه پیش خریدم، اما کیفیتش افتضاحه و زود خراب شد.,Negative,1
2. خیلی زود قسمت فقلش خراب شد، الان دیگه نمی‌دونم چطوری استفاده کنم.,Negative,1
3. واقعا از خریدش پشیمونم، چون هر بار که گوشمو می‌گذارم می‌ترسم قسمت فقلش بشکنه.,Negative,1
کیفیتش اصلاً خوب نبود و توقعات رو برآورده نکرد.,Negative,1
بعد از چند بار استفاده، کارایی‌ش افت کرد.,Negative,1
انتظار بیشتری داشتم، ولی disappoint شدم.,Negative,1
کیفیت ساختش خوبه ولی تنظیماتش خیلی وقت‌گیر و خسته‌کننده بود.,Negative,1
ظاهرش زیباست اما رابط کاربریش به نظر من خیلی گیج‌کننده‌ست.,Negative,1
متاسفانه کانال‌ها همیشه درست نمی‌اومدن و باید دوباره تنظیم می‌کردم.,Negative,1
۱. واقعا نمی‌دونم چرا بعضیا از چرخش لوله ایراد می‌گیرن، من که اصلاً مشکلی ندیدم.,Negative,1
۲. این جارو برقی به نظرم خیلی عادیه و چرخش لوله هم به خوبی کار نمی‌کنه.,Negative,1
۳. من با این چرخش لوله مشکل داشتم، اصلاً مثل چیزی که انتظار داشتم نبود.,Negative,1
1. دوربین به نظرم کیفیتش اونقدر که انتظار داشتم خوب نبود.,Negative,1
2. منم فکر می‌کردم کارش بهتره، ولی کمی ناامید شدم.,Negative,1
3. ازش راضی نیستم، عکس‌ها خیلی شفاف نیستن.,Negative,1
کیفیت تصویر خوب بود ولی امکاناتش خیلی محدود بود.,Negative,1
تصویرش بد نبود اما کاربرپسند نبود و سخت بود استفاده کردن.,Negative,1
کیفیتش معمولی بود و انتظار بیشتری داشتم از امکاناتش.,Negative,1
رنگش خوبه، ولی دستگاه به خوبی کار نمی‌کنه.,Negative,1
انتظار بیشتری داشتم، کیفیتش متوسطه.,Negative,1
خوش رنگه، اما خیلی زود خراب شد.,Negative,1
1. به نظرم قیمتش مناسب نیست و کارایی‌اش هم ضعیف بود.,Negative,1
2. انتظار بیشتری داشتم، اصلاً به کارم نیامد.,Negative,1
3. قیمت خوبه، ولی کیفیتش اصلاً راضی‌کننده نبود.,Negative,1
1. واقعاً صدای فن این لپ تاپ خیلی زیاد و آزاردهنده‌ست.,Negative,1
2. اسپیکرها هیچی نمی‌گن، اصلاً کیفیت صدا خوبی نداره.,Negative,1
3. حتی وقتی سبک کار می‌کنم، صداش کلافه‌کننده است.,Negative,1
کیفیت ساختش اصلاً جالب نیست و بعد از چند ماه شروع به خراب شدن کرد.,Negative,1
نرم‌افزاراش خیلی کند عمل می‌کنن و اصلاً راضی نیستم.,Negative,1
باتریش خیلی زود تموم میشه و اصلاً با این قیمت نمی‌ارزه.,Negative,1
1. من با این کرم پودر نتونستم پوشش دلخواهمو بگیرم و خیلی زود پوستم رو خشک کرد.,Negative,1
2. تا حالا چند بار امتحان کردم ولی برای پوست من اصلا خوب نبود و زود کمرنگ میشه.,Negative,1
3. فکر می‌کردم بهتر از این میشه ولی روی جوش‌ها و زخم‌ها اصلا کارایی نداشت.,Negative,1
1. من تبلت رو خریدم ولی برای بازی اصلاً خوب نیست و خیلی افت کرد.,Negative,1
2. وقتی باهاش کار می‌کنم، گاهی اوقات کند می‌شه و اعصاب خوردکنه.,Negative,1
3. امکاناتش به اندازه‌ای که میگن خوب نیست و انتظارم رو برآورده نکرد.,Negative,1
کیفیتش با قیمتش همخوانی نداره.,Negative,1
فکر نمی‌کردم انقدر ضعیف باشه.,Negative,1
به نظرم ارزشش رو نداره.,Negative,1
- من هم این تلویزیون رو داشتم، اما بعد از چند ماه سرعتش خیلی کم شد و دیگه راضی نبودم.,Negative,1
- به نظرم قیمتش با توجه به کیفیتش خیلی زیاد بود و تجربه‌ی من خوب نبود.,Negative,1
- کنترل جادویی هم بعد از مدتی کار نکرد و واقعا اذیت‌کننده بود.,Negative,1
1. من هم این تبلت رو خریدم و واقعا از کارکردش ناراضی هستم، هی هنگ می‌کنه و اصلا باکیفیت نیست.,Negative,1
2. تجربه من هم دقیقا همینجوری بوده، صفحه لمسی‌اش خیلی حساس نیست و خیلی وقتا به درد نمی‌خوره.,Negative,1
3. منم بعد از خرید خیلی پشیمون شدم، کارت حافظه‌ام همیشه در میاد و اصلا راحت نیست,Negative,1
1. خرید من هم هیچ تاثیری نداشت و همه‌چیز بی‌فایده بود.,Negative,1
2. واقعا از این پیراهن راضی نبودم، اصلاً کارایی نداشت.,Negative,1
3. تجربه‌ی بدی بود، به هیچ وجه ارزشش رو نداشت.,Negative,1
1. من این محصولو گرفتم ولی واقعا از کیفیتش راضی نبودم.,Negative,1
2. فکر میکردم بهتر باشه، ولی اصلاً انتظارمو برآورده نکرد.,Negative,1
3. دریل همی که خریدیم، حتی در کارهای ساده هم خوب عمل نکرد.,Negative,1
1. وقتی پشتیبانی نداری، خرید این لپ‌تاپ یه اشتباه بزرگه.,Negative,1
2. سیستم عامل رو نصب کردم ولی اجرا نمی‌شه، خیلی ناامید شدم.,Negative,1
3. انصافاً از خریدم پشیمونم، دردسرش خیلی زیاده.,Negative,1
کیفیتش اصلاً همون‌طور که انتظار داشتم نبود.,Negative,1
بخشی که برام فرستادن اصلاً با عکس‌هاش همخوانی نداشت.,Negative,1
بعد از چند بار استفاده، کیفیتش خیلی پایین اومد.,Negative,1
نمیدونستم اینقدر قیمتش بالا میره بعد از خرید.,Negative,1
فکر می‌کردم پایین‌تر از این قیمت پیدا می‌کنم.,Negative,1
تو بازار قیمتاش خیلی غیرمنطقیه.,Negative,1
1. من هم قبلاً با روت کردن گوشی به مشکل خوردم و نتونستم نرم‌افزار رو نصب کنم.,Negative,1
2. روی گوشی من کینگ روت کار نکرد و به کلی قفل شد.,Negative,1
3. بعد از روت، همه دیتاهای بازی‌هام از بین رفت و خیلی ناراحت شدم.,Negative,1
کیفیتش خیلی پایین بود.,Negative,1
انتظار بیشتری داشتم.,Negative,1
بعد از چند روز خراب شد.,Negative,1
جنسش خوب نبود، بعد از چند بار استفاده خراب شد.,Negative,1
کیفیتش به اندازه‌ای که فکر می‌کردم نبود.,Negative,1
بعد از یک بار استفاده، رنگش تغییر کرد و اصلاً راضی نبودم.,Negative,1
1. من هم خرید کردم، اما به نظرم کیفیتش خیلی معمولی بود.,Negative,1
2. واقعا فکر نمی‌کردم این محصول به اندازه‌ای که گفته شده خوب باشه.,Negative,1
3. پیشنهاد شگفت انگیز رو گرفتم، ولی حس میکنم قیمتش هنوز هم بالاست.,Negative,1
اینترنت به خاطر نوسان سرعت همیشه قطع می‌شه، اصلا خوشم نیومد.,Negative,1
کارکردنش فقط توی بعضی جاها خوبه، جاهای دیگه اصلاً جواب نمی‌ده.,Negative,1
متاسفانه تنظیماتش خیلی پیچیده و گیج‌کننده‌ست.,Negative,1
1. من هم به خاطر قیمتش خریدم و بعداً پشیمون شدم، خیلی ضعیفه.,Negative,1
2. صفحه نمایش خوب نیست و کار کردن باهاش سخت شده برام.,Negative,1
3. اصلاً از عملکردش راضی نیستم، 64 بیتی هم نیست!,Negative,1
1. من بعد از چند ماه استفاده، صداش دیگه مثل اولش نیست و باتری هم زود خالی میشه.,Negative,1
2. لپ‌تاپ خوبه ولی توی بازی‌های سنگین خیلی داغ می‌کنه و عملکردش افت می‌کنه.,Negative,1
3. بعد از یه سال، کیفیتش رو به افت گذاشته و سرعتش خیلی کم شده.,Negative,1
1. دوربین خوبی به نظر می‌رسه، ولی من بعد از چند ماه استفاده خیلی ازش راضی نبودم، کیفیت عکس‌ها پایین بود.,Negative,1
2. منم مثل شما عاشق عکاسی بودم، ولی این دوربین برام هیچ چیزی نداشت که ازش خوشم بیاد.,Negative,1
3. تجربه‌ام با این دوربین اصلاً جالب نبود، حتی لنز هم نتونست وضعیت رو نجات بده.,Negative,1
گوشی منم بعد یه مدت شیار سیمکارت مشکل پیدا کرد و دیگه نتونستم استفاده کنم.,Negative,1
واقعا از خریدش پشیمونم، هیچ خدماتی هم ارائه نمیدن.,Negative,1
کیفیتش خیلی پایین اومده، الان دیگه به درد نمی‌خوره.,Negative,1
کیفیتش اصلا به اون چیزی که فکر می‌کردم نمی‌رسه.,Negative,1
واقعاً انتظار بیشتری داشتم، راضی نیستم.,Negative,1
دوستم بعد از چند روز استفاده گفت خراب شد!,Negative,1
1. من هم این لپ‌تاپ رو خریدم ولی بعد از یک ماه باتریش خیلی ضعیف شد.,Negative,1
2. گرافیکش وقتی نرم‌افزارهای سنگین رو باز می‌کنی به هم می‌ریزه.,Negative,1
3. صفحه‌نمایش عالیه ولی تاچش خیلی حساس نیست و اذیتم می‌کنه.,Negative,1
1. من سالات ساز رند برقی خریدم، ولی کیفیتش اصلاً مطابق انتظار نبود.,Negative,1
2. کارایی این سالات ساز خیلی ضعیف بود و بعد از چند بار استفاده خراب شد.,Negative,1
3. به نظرم قیمتش نسبت به کیفیتش اصلاً مناسب نیست و اصلاً راضی نیستم.,Negative,1
1. منم اینو خریدم و بعد از نیم ساعت استفاده، گوشم درد گرفت.,Negative,1
2. واقعا انتظار بیشتری داشتم، خیلی راحت نیست و اذیت می‌کنه.,Negative,1
3. استفاده طولانی‌مدت ازش غیرممکنه، گوشمو حسابی خسته کرد.,Negative,1
باتریش خیلی زود تموم می‌شه و قابل قبول نیست.,Negative,1
تبلت عالیه، ولی وقتی باتری کم می‌شه، دیگه کارایی نداره.,Negative,1
فکر می‌کردم باتری بهتر از این باشه، ولی خیلی زود خالی می‌شه.,Negative,1
1. من هم این پرینتر رو خریدم و واقعا از کیفیت چاپ عکساش ناامید شدم، انتظار بهتری داشتم.,Negative,1
2. اصلاً به درد چاپ عکس نمیخوره، رنگ‌ها خیلی بد درمیاد و حاشیه هم نمی‌تونه بگیره.,Negative,1
3. توضیحات محصول خیلی ناقصه، کاش می‌نوشتن که فقط باید روی کاغذ معمولی چاپ کرد، پولم هدر شد.,Negative,1
1. بعد از چند ماه استفاده، مادربرد خراب شد و باید تعویضش می‌کردم.,Negative,1
2. خیلی زود مادربردش دچار مشکل شد و کلی دردسر درست کرد.,Negative,1
3. توقع بیشتری داشتم، بعد از 5 ماه کاملاً از کار افتاد.,Negative,1
1. واقعاً سرعت پرینت خیلی پایینه، چند ساعت منتظر شدم تا یه سری صفحه چاپ بشه.,Negative,1
2. اگر دنبال کارایی و سرعت هستید اصلاً گزینه خوبی نیست، کندی‌اش آزاردهنده‌ست.,Negative,1
3. من حجم کارم زیاد بود و این پرینتر اصلاً نتونست از پسش بر بیاد، خیلی زمان برد.,Negative,1
گوشی خوبیه ولی باطریش واقعا زود خالی میشه و کلافه‌کنه.,Negative,1
مشکل سایه‌افتادن برنامه‌ها هم خیلی اذیت‌کننده‌ست و امیدوارم حلش کنن.,Negative,1
شارژش هم به نسبت بعضی گوشی‌ها واقعا کند شده و انتظار بیشتری داشتم.,Negative,1
دوربین خوبیه ولی وقتی نور خیلی زیاد میشه، کیفیتش پایین میاد و عکس‌ها واضح نیستن.,Negative,1
کیفیت ساختش به نظر نمیاد خیلی بالا باشه، احساس می‌کنم زود خراب بشه.,Negative,1
من انتظار بیشتری ازش داشتم، بعضی ویژگی‌هاش به درد نمی‌خوره.,Negative,1
۱. من هم همین مدل رو گرفتم ولی خیلی زود داغ نمی‌شد و کارایی خوبی نداشت.,Negative,1
۲. ظاهرش خوبه اما بخار داغش خیلی ضعیف بود و عملاً کار نمی‌کرد.,Negative,1
۳. انتظار بیشتری داشتم، چروک‌ها رو خوب از بین نمی‌برد و خیلی اذیت شدم.,Negative,1
1. من هم همین مشکل رو داشتم، چراغش به طور مرتب خاموش و روشن می‌شد و خیلی اذیت‌کننده بود.,Negative,1
2. واقعا برای رجیستر کردنش دردسر داشتم، اصلاً راه‌حل مناسبی نیافتیم.,Negative,1
3. قیمتش خوبه، ولی اصلاً کارایی که انتظار داشتم رو نداشت.,Negative,1
1. لپ تاپ خوبیه ولی متاسفانه ویندوز نداشت و نصبش خیلی سخت بود.,Negative,1
2. نسبت به قیمتش قابل قبول بود ولی کیف و ماوسش به درد نمی‌خورد.,Negative,1
3. کاربری عمومی رو جواب میده، اما انتظار بیشتری از کیفیتش داشتم.,Negative,1
مدت زیادی از خرید من نگذشته بود که کیفیت صداش پایین اومد.,Negative,1
متاسفانه بعد از چند ماه خراب شد و نتونستم درستش کنم.,Negative,1
رنگ آبی زیبا بود ولی بعد از مدتی رنگش عوض شد.,Negative,1
1. کیفیتش اصلا به انتظار من نرسید.,Negative,1
2. ظاهرش خوبه، اما خیلی زود خراب شد.,Negative,1
3. از زیبایی خوشم اومد، ولی ساختش ضعیف بود.,Negative,1
1. من به شخصه فکر نمی‌کنم که مصرف برقش منطقی باشه.,Negative,1
2. اگر به صرفه‌جویی فکر می‌کنید، این گزینه خوبی نیست.,Negative,1
3. خیلی از برق استفاده می‌کنه و از این نظر ناراضی‌ام.,Negative,1
1. منم خریدم، ولی واقعا صدای فنش خیلی ناراحت‌کننده‌س، به تمرکز آسیب می‌زنه.,Negative,1
2. بازی باهاش خوبه، اما داغ می‌شه و صدای فنش غیرقابل تحمله.,Negative,1
3. تجربه‌ام خوب نبود، گرم می‌شه و صدای فنش حوصله‌ام رو سر می‌بره.,Negative,1
1. منم فکر می‌کنم فقط برای بطری خوبه، برای قوطی اصلاً به درد نمی‌خوره.,Negative,1
2. کاش قابلیت‌های بیشتری داشت، اینجوری خیلی محدود شده!,Negative,1
3. واقعاً انتظار داشتم که برای کنسرو هم کارایی داشته باشه، ولی خیلی ضعیفه.,Negative,1
1. متاسفانه پنکه‌ای که گرفتم کار نکرد و خیلی ناامید شدم.,Negative,1
2. برای من پنکه خیلی صدا می‌کرد و اصلا راضی نبودم.,Negative,1
3. پنکه‌ای که برام فرستادند خراب بود و واقعا وقت تلف کرد.,Negative,1
لپ‌تاپ رو گرفتم، اما بعد از یه ماه داغ کرد و خاموش شد.,Negative,1
کیفیت صفحه‌اش اصلاً خوب نیست، رنگ‌ها خیلی کدر به نظر می‌رسند.,Negative,1
کیفیت صداش هم افتضاحه، نمی‌شه باهاش فیلم دید.,Negative,1
1. بعد از یه مدت استفاده، متوجه شدم که باتری خیلی زود خالی میشه و اصلاً راضی نیستم.,Negative,1
2. کیفیت صفحه نمایش به هیچ عنوان به اندازه‌ی انتظارام نبود، مخصوصاً توی زاویه‌های مختلف.,Negative,1
3. حسگر اثر انگشت خیلی اذیت می‌کنه و معمولاً باید چند بار امتحانش کنم تا جواب بده.,Negative,1
1. من هم لپ‌تاپ ایسوز دارم، ولی به هیچ وجه مثل قبلی‌ام نیست و دردسرهای زیادی داشته.,Negative,1
2. لپ‌تاپم بعد از چند ماه کارکرد، هی خاموش میشه و خیلی اذیت‌کننده شده.,Negative,1
3. نصب ویندوز رو من هم با مشکل مواجه شدم، کلی وقت گذاشتم و هنوز هم درست کار نمی‌کنه.,Negative,1
1. کیفیت تصویرش اصلاً خوب نیست و خیلی زود هم داغ میشه.,Negative,1
2. بازی‌هاش تنوع نداره و بعد از یه مدت خسته‌کننده میشه.,Negative,1
3. باگ‌های زیادی داره و گاهی حین بازی قطع میشه.,Negative,1
اتوی من هم خیلی دیر گرم میشه و بخار نمی‌کنه که خیلی اذیتم کرد.,Negative,1
به نظرم بخاردهی‌اش خیلی بهتر از این باید باشه، انتظار بیشتری داشتم.,Negative,1
از وقتی گرفتمش، خیلی خوب کار نکرد و بخاردهیش ضعیفه.,Negative,1
متاسفانه اصلاً به نیاز من پاسخ نداد و خیلی ناامید شدم.,Negative,1
انتظار داشتم بهتر از این باشه، ولی واقعاً راضی نیستم.,Negative,1
کیفیتش خیلی پایین بود و تجربه خوبی نداشتم.,Negative,1
1. لیوان خیلی دیر چای رو گرم نگه می‌داره، بعد از یه ساعت سرد شده بود.,Negative,1
2. وقتی چای رو ریختم، رنگش عوض شد و اصلاً خوب نبود.,Negative,1
3. بعد از مدتی بوی بدی به خودش گرفت و دیگه نمی‌تونستم ازش استفاده کنم.,Negative,1
1. من هم صدای پیش‌فرض رو خیلی ضعیف دیدم، کمی ناامید کنندست.,Negative,1
2. تنظیمات صدا واقعا به درد می‌خوره، بدون تغییر کیفیت بد میشه.,Negative,1
3. اولش فکر کردم مشکلی دارم، ولی بعد فهمیدم به تنظیمات صدا مربوط میشه.,Negative,1
1. من هم همین لپ‌تاپ رو گرفتم ولی به شدت هنگ می‌کرد و واقعا اذیت کننده بود.,Negative,1
2. سر کار با نرم‌افزار حسابداری، لپ‌تاپ مدام قفل می‌شد و واقعاً کار رو سخت کرده بود.,Negative,1
3. بعد از چند ماه استفاده، دیگه نتونستم حتی فیلم معمولی ببینم، خیلی کند شده بود.,Negative,1
1. منم این دستگاه رو خریدم، ولی سیب‌زمینی‌ها خوب کباب نشدن و کلی زمان برد.,Negative,1
2. انتظار داشتم غذام خوشمزه‌تر بشه، اما نتیجه همونطور که باید نبود.,Negative,1
3. دستگاه کارکردش خوب نبود و خیلی از سیب‌زمینی‌ها سوختن، اصلاً راضی نیستم.,Negative,1
1. تبلت خوبی بود ولی خیلی زود خراب شد و اصلاً برای بچه‌ها مناسب نیست.,Negative,1
2. دوربینش خیلی ضعیف بود و حتی وبگردی هم روان نیست.,Negative,1
3. برای کارهای روزمره خوب نیست و خیلی سریع هنگ می‌کنه.,Negative,1
1. من بعد از یک ماه استفاده ازش، کم‌کم به نظرم ضعیف اومد و بعضی پیچ‌ها رو نتونست باز کنه.,Negative,1
2. خشابش خوبه، اما خود دستگاه واقعا قدرت لازم رو نداره و خیلی کند کار می‌کنه.,Negative,1
3. انتظار داشتم که کارایی بهتری داشته باشه، اما بعد از چند بار استفاده ناامید شدم.,Negative,1
1. من هم این لپ تاپ رو خریدم، ولی بعد از 6 ماه دیگه جوابگو نبود و کلی کند شد.,Negative,1
2. تجربه من خیلی بد بود، بعد از 8 ماه مجبور شدم ویندوز رو عوض کنم، اصلا راضی نیستم.,Negative,1
3. کارایی‌اش بعد از مدت کمی افت کرد و دیگه مثل روز اول خوب نیست.,Negative,1
سیستمش خیلی کند شده و همش هنگ می‌کنه.,Negative,1
به هیچ‌وجه نمی‌تونه بازی‌های سنگین رو اجرا کنه.,Negative,1
حجم رم خوبه، ولی بازم مشکل داره و بهینه نیست.,Negative,1
1. اصلاً انتظاراتم رو برآورده نکرد.,Negative,1
2. خیلی سریع خراب شد و کاربردی نبود.,Negative,1
3. فکر می‌کردم بهتر از این باشه، ولی ناامید شدم.,Negative,1
1. من حدود یک ماه پیش همین لباسشویی رو خریدم، ولی اصلاً از شستشوی لباس‌ها راضی نیستم.,Negative,1
2. شستشوی لباس‌ها درست انجام نمی‌شه و بعد از چند بار استفاده، کم کم به مشکل خوردم.,Negative,1
3. به نظرم کیفیت لباسشویی خوب نیست و بیشتر وقت‌ها باید لباس‌ها رو دوباره بشورم.,Negative,1
۱. من مدت زیادیه از دیجی خرید می‌کنم، ولی این بار اصلاً راضی نبودم، قهوه درست آسیاب نشد.,Negative,1
